time,direction,entry_price,exit_price,net_pnl,fvg_confirmed,mom_score,brk_score,hold_bars,ticker
2026-02-09 10:06:00-05:00,long,692.0459,693.1332,107.74,True,0.001039,0.000347,30,SPY
2026-02-09 13:21:00-05:00,short,693.6065,695.2475,-165.1,False,-0.001249,-0.001427,30,SPY
2026-02-10 09:52:00-05:00,long,695.1673,695.9368,75.95,True,0.001017,0.000273,30,SPY
2026-02-11 09:45:00-05:00,long,696.4281,691.0443,-539.37,False,0.003926,0.003349,30,SPY
2026-02-11 10:52:00-05:00,long,692.1409,692.8834,73.25,True,0.001423,0.000673,30,SPY
2026-02-11 12:25:00-05:00,long,693.9468,692.7869,-116.99,True,0.001217,0.000692,30,SPY
2026-02-11 14:45:00-05:00,short,692.2037,693.2965,-110.28,True,-0.001495,-0.00183,30,SPY
2026-02-12 09:45:00-05:00,long,693.9568,693.0333,-93.35,True,0.001732,0.001256,30,SPY
2026-02-12 10:54:00-05:00,short,689.1653,685.3725,378.27,True,-0.001177,-0.001875,30,SPY
2026-02-12 12:00:00-05:00,short,683.3981,684.4971,-110.9,False,-0.001087,-0.001388,30,SPY
2026-02-12 13:07:00-05:00,long,684.292,683.4681,-83.39,False,0.001077,0.000732,30,SPY
2026-02-12 14:11:00-05:00,short,683.5081,685.5826,-208.46,False,-0.001079,-0.001548,30,SPY
2026-02-13 09:45:00-05:00,short,681.719,682.241,-53.2,True,-0.00194,-0.002618,30,SPY
2026-02-13 10:46:00-05:00,short,680.7395,683.7217,-299.22,True,-0.001667,-0.005054,30,SPY
2026-02-13 13:52:00-05:00,short,684.0778,685.4726,-140.48,True,-0.001125,-0.001728,30,SPY
2026-02-13 14:59:00-05:00,short,682.0588,680.9703,107.85,True,-0.00102,-0.002062,30,SPY
2026-02-09 10:01:00-05:00,long,609.9898,611.3742,137.43,False,0.001079,0.000123,30,QQQ
2026-02-09 13:21:00-05:00,short,613.7654,615.5076,-175.23,False,-0.001752,-0.001938,30,QQQ
2026-02-10 09:45:00-05:00,short,613.0334,615.4025,-237.92,True,-0.00255,-0.00355,30,QQQ
2026-02-10 10:56:00-05:00,short,614.4426,615.3575,-92.49,True,-0.001301,-0.002742,30,QQQ
2026-02-10 13:56:00-05:00,long,614.1169,613.0133,-111.36,False,0.001165,0.000783,30,QQQ
2026-02-11 09:45:00-05:00,long,616.8383,609.9918,-685.64,False,0.006727,0.006087,30,QQQ
2026-02-11 10:49:00-05:00,short,609.4551,612.6262,-318.1,False,-0.001148,-0.001578,30,QQQ
2026-02-11 12:01:00-05:00,short,609.785,613.3642,-358.92,True,-0.001067,-0.002387,30,QQQ
2026-02-11 13:17:00-05:00,long,612.5661,612.7236,14.74,True,0.001172,0.000139,30,QQQ
2026-02-11 14:45:00-05:00,short,612.9034,614.2421,-134.87,True,-0.001969,-0.002635,30,QQQ
2026-02-12 09:49:00-05:00,short,612.1138,611.5556,54.81,True,-0.00105,-0.00176,30,QQQ
2026-02-12 10:54:00-05:00,short,607.2962,603.8318,345.44,True,-0.001667,-0.002528,30,QQQ
2026-02-12 12:06:00-05:00,long,604.1564,603.8779,-28.85,True,0.001208,0.000505,30,QQQ
2026-02-12 13:07:00-05:00,long,603.4816,602.7585,-73.31,True,0.001434,0.000796,30,QQQ
2026-02-12 14:11:00-05:00,short,602.5086,604.7222,-222.36,True,-0.001711,-0.002234,30,QQQ
2026-02-12 15:20:00-05:00,short,601.739,600.4301,129.89,True,-0.001185,-0.00194,30,QQQ
2026-02-13 09:50:00-05:00,short,599.5787,602.1109,-254.22,True,-0.00335,-0.00402,30,QQQ
2026-02-13 10:54:00-05:00,long,602.4711,601.2592,-122.19,True,0.001544,0.000482,30,QQQ
2026-02-13 11:56:00-05:00,long,605.0924,605.0073,-9.5,True,0.001086,0.000728,30,QQQ
2026-02-13 13:01:00-05:00,short,604.3777,606.2129,-184.53,False,-0.001054,-0.001931,30,QQQ
2026-02-13 14:41:00-05:00,short,603.733,603.8888,-16.58,True,-0.001286,-0.001832,30,QQQ
